월,구분,담당부서,광고주명,코드,총매출,영업수익,영업비용,영업실적,인건비,관리손익
2월,광고주,SAE팀,대박판촉물,30804,"1,711,614","256,743","12,500","244,243","118,427","125,816"
2월,광고주,CS파트,이케이 주식회사,57644,"1,285,950","192,893",0,"192,893","117,361","75,532"
2월,광고주,CS파트,쏘내추럴(주),59576,"1,283,910","192,587",0,"192,587","117,174","75,413"
2월,광고주,CS파트,한국피셔과학 (주),61113,"1,278,290","191,744",0,"191,744","116,661","75,083"
2월,광고주,CS파트,주식회사 이폼웍스,60757,"1,257,410","188,612",0,"188,612","114,755","73,857"
2월,광고주,SAE팀,중소기업정책자금지원센터주식회사,58412,"1,591,670","238,751",0,"238,751","110,128","128,623"
2월,광고주,CS파트,주식회사 상우,59906,"1,191,090","178,664",0,"178,664","108,702","69,962"
2월,광고주,SAE팀,한반도교량점검,58958,"1,563,084","234,464",0,"234,464","108,151","126,313"
2월,광고주,CS파트,(주)도래샘,60735,"1,113,510","173,189",0,"173,189","105,372","67,817"
2월,광고주,SAE팀,(주)엠제이플렉스,19413,"1,510,635","226,596",0,"226,596","104,521","122,075"
2월,광고주,SAE팀,더클래식500,34094,"1,290,256","226,193",0,"226,193","104,336","121,857"
2월,광고주,CS파트,주식회사 성광특수강화유리,60839,"1,121,100","168,165",0,"168,165","102,315","65,850"
2월,광고주,SAE팀,더함 프랜차이즈 개발원,57437,"1,477,578","221,637",0,"221,637","102,234","119,403"
2월,광고주,CS파트,바른본병원,57137,"1,120,000","168,000",0,"168,000","102,215","65,785"
2월,광고주,CS파트,(주)지학사,58937,"1,120,000","168,000",0,"168,000","102,215","65,785"
2월,광고주,CS파트,화이트큐브,60738,"1,120,000","168,000",0,"168,000","102,215","65,785"
2월,광고주,CS파트,(주)다보산업,60086,"1,120,000","168,000",0,"168,000","102,215","65,785"
2월,광고주,CS파트,니오라코리아 유한회사,61364,"1,120,000","168,000",0,"168,000","102,215","65,785"
2월,광고주,운영실2팀 (주규철),주식회사 우아한형제들,61056,"1,120,000","168,000",0,"168,000","102,159","65,841"
2월,광고주,CS파트,(주)우림엠에스,59931,"1,095,910","164,387",0,"164,387","100,017","64,370"
2월,광고주,SAE팀,주식회사 내공관리형스터디카페,61491,"1,437,670","215,651",0,"215,651","99,473","116,178"
2월,광고주,SAE팀,온뮤직실용음악학원,57089,"1,422,500","213,376",0,"213,376","98,424","114,952"
2월,광고주,CS파트,윤동주성형외과의원,47123,"1,059,250","158,888",0,"158,888","96,670","62,218"
2월,광고주,CS파트,주식회사 이노렌탈,59385,"1,011,420","151,714",0,"151,714","92,306","59,408"
2월,광고주,CS파트,예술은행,40938,"1,002,910","150,438",0,"150,438","91,529","58,909"
